Finlandiya,Avrupa Birliði
Malavi,Avrupa Birliði
Macaristan,Avrupa Birliði
Costa,Birleþik Devletler
Dominika,Trinidad ve Tobago
Danimarka,Avrupa Birliði
Brunei,Japonya
Dominik Cumhuriyeti,Birleþik Devletler
Ekvator Ginesi,Avrupa Birliði
Küba,Rusya
Bangladeþ,Avrupa Birliði
Türkmenistan,Çin
Hollanda,Avrupa Birliði
Pakistan,Avrupa Birliði
Libya,Avrupa Birliði
Myanmar,Çin
Fildiþi Sahili,Avrupa Birliði
Laos,Tayland
Þeysel,Avrupa Birliði
Venezuela,Birleþik Devletler
Katar,Japonya
Mýsýr,Avrupa Birliði
Brezilya,Çin
Þili,Çin
Solomon Adalarý,Çin
Angola,Çin
Saint Kitts ve Nevis,Birleþik Devletler
Mozambik,Avrupa Birliði
Kongo Demokratik Cumhuriyeti,Çin
Birleþik Arap Emirlikleri,Avrupa Birliði
Ürdün,Birleþik Devletler
Saint Vincent ve Grenadines,Barbados
Trinidad ve Tobago,Birleþik Devletler
Haiti,Birleþik Devletler
Namibya,Ýsviçre
Yeni Zelanda,Çin
Japonya,Birleþik Devletler
Ýranlý,Çin
Umman,Çin
Tunus,Avrupa Birliði
Madagaskar,Avrupa Birliði
Polonyalý,Avrupa Birliði
Maldivler,Avrupa Birliði
Belçika,Avrupa Birliði
Ekvador,Birleþik Devletler
Kiribati,Fas
Tacikistan,Türki
Hong Kong,Çin
Komorlar,Avrupa Birliði
Gabon,Birleþik Devletler
Sri Lanka,Avrupa Birliði
Lüksemburg,Avrupa Birliði
Suriye,Avrupa Birliði
Lübnan,Suudi Arabistan
Makedonyalý,Avrupa Birliði
Meksikalý,Birleþik Devletler
Saint Lucia,Birleþik Devletler
Slovenya,Avrupa Birliði
Kanada,Birleþik Devletler
Ýsveç,Avrupa Birliði
Ýspanya,Avrupa Birliði
Almanya,Avrupa Birliði
Malta,Avrupa Birliði
Ýzlanda,Avrupa Birliði
Ýtalya,Avrupa Birliði
Endonezya,Çin
Nikaragua,Birleþik Devletler
Sýrbistan,Avrupa Birliði
Fiji,Birleþik Devletler
Samoa,Avustralya
Zimbabve,Güney Afrika
Avrupa Birliði,Birleþik Devletler
Portekiz,Avrupa Birliði
Çin,Birleþik Devletler
Jamaika,Birleþik Devletler
Ýngiltere,Avrupa Birliði
Romanya,Avrupa Birliði
Suudi Arabistan,Çin
Paraguay,Brezilya
Slovakya,Avrupa Birliði
Nijerya,Avrupa Birliði
Güney Kore,Çin
Peru,Çin
Ruanda,DR Kongo
Bahreyn,Suudi Arabistan
Ýsrail,Birleþik Devletler
Ukrayna,Avrupa Birliði
Togo.,Benin
Surinam,Birleþik Devletler
Eritre,Çin
Ýsviçre,Avrupa Birliði
Fas,Avrupa Birliði
Kamerunlu,Avrupa Birliði
Vanuatu,Malezya
Mali,Güney Afrika
Kamboçya,Avrupa Birliði
Bosna,Avrupa Birliði
Beyaz Rusya,Rusya
Hindistan,Avrupa Birliði
Moðolistan,Çin
Papua Yeni Gine,Singapur
Çek Cumhuriyeti,Avrupa Birliði
Mauritius,Avrupa Birliði
Honduras,Birleþik Devletler
Nijer,Avrupa Birliði
Kuzey Kore,Çin
Kenya,Avrupa Birliði
Antigua ve Barbuda,Birleþik Devletler
Sierra Leone,Fildiþi Sahili
Guyana,Kanada
Azerbaycan,Avrupa Birliði
Burkina Faso,Ýsviçre
Moritanya,Çin
Singapur,Çin
Özbekistan,Ýsviçre
Ermenistan,Avrupa Birliði
Burundi,DR Kongo
Grenada,Dominika
Svaziland,Güney Afrika
Sudan,Çin
Sao Tome ve Principe,Avrupa Birliði
Bhutan,Hindistan
Somali,Suudi Arabistan
Kazakistan,Avrupa Birliði
Yunanistan,Avrupa Birliði
Arjantin,Brezilya
Hýrvatistan,Avrupa Birliði
Bolivya,Brezilya
Zambiya,Ýsviçre
Gine-Bissau,Hindistan
Cezayir,Avrupa Birliði
Rusya,Avrupa Birliði
Norveçli,Avrupa Birliði
Arnavutluk,Avrupa Birliði
Estonya,Avrupa Birliði
Kolombiya,Birleþik Devletler
Macau,Hong Kong
Türki,Avrupa Birliði
Nepal,Hindistan
Bulgaristan,Avrupa Birliði
Fransa,Avrupa Birliði
Irak,Çin
Benin,Hindistan
Kýrgýzistan,Ýsviçre
Senegal,Mali
Filipinler,Japonya
Yemen,Suudi Arabistan
Cibuti,Etiyopya
Güney Afrika,Avrupa Birliði
Uganda,Avrupa Birliði
Vietnam,Birleþik Devletler
Malezya,Singapur
Mikronezya Federal Devletleri,Guam
Birleþik Devletler,Avrupa Birliði
Avustralya,Çin
Barbados,Birleþik Devletler
Çad,Birleþik Devletler
Tanzanya,Ýsviçre
Lesotho,Güney Afrika
Gambiya,Mali
Tonga,Yeni Zelanda
Bahamalar,Birleþik Devletler
Panama,Avrupa Birliði
Tayland,Birleþik Devletler
Moldova,Avrupa Birliði
El Salvador,Birleþik Devletler
Ýrlanda,Avrupa Birliði
Etiyopya,Avrupa Birliði
Gürcistan,Avrupa Birliði
Tayvan,Çin
Avusturya,Avrupa Birliði
Gine,Avrupa Birliði
Yeþil Burun,Avrupa Birliði
Belize,Avrupa Birliði
Afganistan,Hindistan
Orta Afrika Cumhuriyeti,Avrupa Birliði
Letonya,Avrupa Birliði
Kongo,Çin
Guatemala,Birleþik Devletler
Kuveyt,Güney Kore
Litvanya,Avrupa Birliði
Karadað,Avrupa Birliði
Botsvana,Avrupa Birliði
Uruguay,Brezilya
Gana,Avrupa Birliði
Kýbrýs,Avrupa Birliði
